time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-01,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-02,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-03,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-04,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
16-55-05,1,1,[0.],[0.],[0.],[0.],[0.]
